PROJECT_TITLE,ABSTRACT_TEXT,CORE_PROJECT_NUM,PI_NAMEs,ORG_NAME,FISCAL_YEAR,SOURCE,EXP_HEAVY_METALS,EXP_AIR_POLLUTION,EXP_PFAS,EXP_PESTICIDES,EXP_PHTHALATES_BPA,EXP_SOLVENTS,EXP_PAHS_DIOXINS_PCBS,EXP_FLAME_RETARDANTS,EXP_MICROPLASTICS,EXP_NITRATES,MECH_NEURODEGENERATION,MECH_INFLAMMATION,MECH_OXIDATIVE_MITOCHONDRIAL,MECH_ENDOCRINE,MECH_MICROBIOME,MECH_IMMUNE_DYSFUNCTION,MECH_DNA_DAMAGE,MECH_EPIGENETIC,MECH_RECEPTOR_SIGNALING,MECH_SENESCENCE_CELL_DEATH,MECH_BARRIER_DISRUPTION,ORGAN_BRAIN_NERVOUS,ORGAN_GI_GUT,ORGAN_RESPIRATORY,ORGAN_CARDIOVASCULAR,ORGAN_REPRODUCTIVE,ORGAN_LIVER,ORGAN_KIDNEY,ORGAN_IMMUNE,ORGAN_SKIN,ORGAN_ENDOCRINE,TYPE_MECHANISTIC,TYPE_TOXICITY_SCREENING,TYPE_BIOMARKER,TYPE_RISK_ASSESSMENT,TYPE_INTERVENTION,TYPE_METHODS,TYPE_CONFERENCE,TYPE_CENTER_CORE,ADMINISTERING_IC,STAGE_EXPOSURE_CHAR,STAGE_TOXICITY,STAGE_MECHANISM,STAGE_HEALTH_OUTCOME,STAGE_INTERVENTION,PARTICLE_MICRO,PARTICLE_NANO,PARTICLE_FIBER,PARTICLE_ADDITIVE,MODEL_INVITRO,MODEL_RODENT,MODEL_ZEBRAFISH,MODEL_OTHER_ANIMAL,MODEL_HUMAN,MODEL_ENVIRONMENTAL,END_UPTAKE,END_INFLAMMATION,END_OXIDATIVE,END_GUT_MICROBIOME,END_REPRODUCTIVE,END_CARDIOVASCULAR,END_RESPIRATORY,END_NEURO,END_IMMUNE,END_GENOTOXIC
Accumulation of Micro- and Nanoplastics in Human Cerebral Spinal Fluid,"Plastics are emerging pollutants of growing concern due to their ubiquitous presence and potential toxicity to human health, but remain poorly understood. As plastics degrade, they release microplastics (<5 mm) and nanoplastics (<1µm), collectively referred to as MNPs, which can enter the human body through ingestion, inhalation, and dermal contact. Recent studies suggested that MNPs may have the ability to cross biological membranes such as the blood–brain barrier (BBB). A recent study detected MNPs in the cerebrospinal fluid (CSF) of 28 participants using pyrolysis-gas chromatography mass spectrometry (Py-GC/MS) and laser direct infrared imaging (LDIR), confirming that PS, PE, PP, and PVC can reach the central nervous system (CNS). Participants with CNS infections had elevated interleukin-6 (IL-6) and interleukin-8 (IL-8) levels, suggesting a connection between MNPs accumulation and BBB integrity. We used stimulated Raman spectroscopy (SRS) to quantify MNPs and identify plastic types. Compared to LDIRʼs detection limit (10 µm), SRSʼ greater sensitivity (0.2 µm) allows the quantification of not only micro, but also nanoplastics. Particle size plays a crucial role in toxicity since sm",CONF_3216,Huiping Deng,Columbia University,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0
"Inhaled Nanoplastics Drive PINK1/Parkin-Mediated Mitophagy and Metabolic Dysregulation, Compromising Neurovascular Integrity","The global plastic production has resulted in widespread human exposure to airborne nanoplastics (NPs), creating an urgent need to understand their neurotoxic potential. Here, we demonstrate that short-term inhalation of polystyrene NPs causes significant neuropathological changes in the murine brain. Our findings show that NPs exposure induces notable neuronal loss in the cerebral cortex, characterized by dendritic degeneration and mitochondrial pathology, through disruption of neuronal and vascular integrity, ultimately leading to cellular metabolism. Furthermore, we observed significant NP accumulation not only within neuronal and cerebrovascular endothelial cells but specifically concentrating in the mitochondrial compartment of these cell types. Importantly, initial NP accumulation was also evident in the synaptic cleft before major damage. Mechanistically, we identify the PINK1/Parkin-mediated mitophagy pathway as a central driver, not only of neuronal injury but also of concurrent endothelial cell dysfunction. This disruption leads to the breakdown of the blood-brain barrier (BBB) and subsequent perivascular hemorrhage. These structural and functional deficits were 45 accompan",CONF_3217,Kyu-sung Kim,KBRI,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0
Axonal Transport of Nanoplastics by Kinesin,"Nanoplastics (NPs), defined as plastic particles <1000 nm, are ubiquitous in our environment, but their impacts on human health are poorly understood. Several studies report NP accumulation in the central nervous system of fish, rodents and flies, and recent work has shown the uptake of different NPs in various neuronal cell types. Furthermore, there is growing evidence that exposure to NPs is a strong risk factor in the development of neurodegenerative disease like Alzheimerʼs and Parkinsonʼs. NPs enter the body through ingestion or inhalation, and may reach the brain via the circulatory system, the olfactory route, the trigeminal pathway or the vagus nerve. While there are ongoing efforts to study the uptake mechanisms of these NPs, there is little investigation into their post-internalization transport in neurons. Given our increasing exposure and the potential toxicity of NPs, understanding their transport inside our brains is a pressing need. Our results suggest that kinesin-based cytoskeletal transport may serve as a mechanism by which NPs spread through the brain, which may contribute to neurotoxicity and neurodegeneration. Because kinesin-based transport exists in all cells, ou",CONF_3218,Antara Verma,Pennsylvania State University,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
Benchmarking the Invisible: Modeling Neurotoxicity of Ingested Micro- and Nanoplastics Through Bayesian Dose-Response Analysis,"Despite growing evidence of micro- and nanoplastics (MNP) ingestion through food, no reference doses (RfDs) currently guide human-health risk assessment. To address this, we conducted a systematic review of mammalian oral exposure studies using the PRISMA framework and PICOS model to derive points of departure (PODs) and propose RfDs for MNPs, 46 establishing a transparent framework for regulatory evaluation of emerging hazards. From 35,046 articles retrieved from seven databases, we removed duplicates, screened titles with a fine-tuned Large Language Model (LLM) model, and manually reviewed abstracts and full texts, yielding 165 eligible studies across multiple biological systems. Due to the volume and complexity of the data, our detailed analysis in the present study focused on neurological outcomes. Twenty-two studies addressed neurotoxicity. From these 132 statistically or biologically significant dose–response endpoints, spanning behavioral performance, neuroinflammatory cytokines, oxidative stress markers, and neurodevelopmental or structural measures, models and calculations were developed for the Benchmark Dose Lower Confidence Limit (BMDL) in Phase 1 of a three-tiered pipel",CONF_3219,Andrew Ortiz Balsero,University of Nebraska-Lincoln,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
Multi-Omic Evidence of Respiratory Toxicity from Tire-Derived Microplastics,"Microplastics (MPs) have become a pervasive and persistent contaminant across freshwater, marine, soil, and atmospheric environments. Humans rely on these resources for clean food, water, and air, yet they now contribute to increased MP exposure. Due to the increasing studies demonstrating MPs in various compartments of the body (lung, brain, heart, placenta, etc.), the need to understand the human health effects of microplastics is imperative. Health concerns from MPs include their ability to transport to different parts of the body, physical characteristics, potentially toxic chemical additives released, and ability to harbor bacteria and viruses that may evade immune defenses. One of the largest but often overlooked sources of MPs is tire wear particles from automotive vehicles, estimated to contribute 26–74% of total global MP pollution. Recycled tire crumbs used in athletic fields, recreational areas, and playgrounds also represent an important exposure source. Tire particles contain additives such as carbon black, plasticizers, vulcanizers, antioxidants, and activators— many with poorly In this study, we applied a multi-omic approach to investigate the impacts of tire-derived mi",CONF_3220,Imari Walker-Franklin,RTI International,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0
Human Inhalation of Microplastic and Nanoplastic from E-cigs,"Electronic cigarettes (e-cigs), which heat liquids to generate inhaled aerosol vapors, have become increasingly popular worldwide, particularly among younger populations. While plastics account for up to 80% of the deviceʼs main material besides metal, the potential release and inhalation of microplastics (MPs) and nanoplastics (NPs) during e-cig use remains poorly understood. Inhalation exposure is especially concerning, as the respiratory tract may serve as a direct entry pathway for these small plastic particles into the human body, raising potential health risks. In this study, we 48 (Ananda Rao & Johncy, 2022). A variety of quantitative and qualitative methods have demonstrated the presence of MNPs of varying polymer types, with the largest fraction typically being polyethylene (Nihart et al., 2025). While qualitative methods allow for rapid identification of individual fibers, Py-GC/MS specifically allows for total-tissue MNP recovery, as many of the suspected particles are below the size of detection for µFTIR/Raman spectrometry. Questions remain regarding the relative accuracy of Py-GC/MS data, given the potential difficulty in matrix-plastic separation. Several steps are tak",CONF_3221,Cuizhu Ma,Columbia University,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Detection and Quantification of Microplastics in Human and Murine Lung Tissue,"Micro and Nanoplastics (MNPs) are a persistent environmental pollutant which have been detected in several human tissue types, and notably, in the human lungs (Amato-Lourenço et al., 2021). Rising concentrations of these polymers suggest new concerns for human health outcomes considering the increase in chronic pulmonary disease diagnoses (Boers et al., 2023). Due to the extremely expansive surface area and large air volume expected to be filtered by the lungs, pulmonary MP accumulation remains a highly interesting and understudied topic 49 Particle deposition in the human lung as a function of microplasticsʼ shape, size, orientation, and type hygroscopic growth, electrostatics/aggregation, co-contaminants, and post-deposition clearance/translocation. Future work should pair harmonized field measurements with controlled inhalation and air–liquid-interface studies to validate deposition and clearance, extend models to nanoplastics and realistic breathing patterns, incorporate polymer aging and additive, absorbed or adsorbed-chemical release, and generate dose–response data for quantitative risk assessment. Ashish Jachak, PhD RHP Risk Management, Inc, Ashish Jachak (RHP Risk Manag",CONF_3222,Aerlin Decker,University of New Mexico,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0
"Particle deposition in the human lung as a function of microplastics' shape, size, orientation, and type","The widespread use and poor end-of-life management of single-use plastics has created a global pollution problem with emerging health concerns. Weathering produces micro- and nanoplastics that become airborne and can be inhaled. Some are cleared; others persist, provoke inflammatory or oxidative responses, and carry intrinsic additives or adsorbed or absorbed pollutants creating combined particle–chemical hazards. Because airborne microplastics are often fibrous with non-spherical aerodynamics, we examined how fiber size, shape (aspect ratio), density, and orientation govern regional lung deposition. We estimated deposition in the nasopharyngeal, tracheobronchial, and alveolar regions using the ICRP respiratory tract model with fiber-specific corrections. Fiber length and diameter were converted to aerodynamic-equivalent diameters via dynamic-shape-factor adjustments that incorporate density and orientation. We evaluated fibers 10–50 µm long and 0.75–5 µm in diameter under parallel, perpendicular, and random orientations to bound realistic inhalation. Under random orientation, nasopharyngeal deposition peaked at ~0.87 for fibers with aerodynamic diameters ~5–7 µm, where inertial impaction",CONF_3223,Ashish Jachak,RHP Risk Management,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
Lifecycle of microplastics in the body and their contribution to Alzheimer's disease,"Nano- and microplastics (NMPs) exposure represents a new health concern for the human population, but their lifecycle in the body after ingestion and their potential impact on human health, including their possible contribution to disease, remain poorly understood. My group has shown that acute (3 week) exposure to 0.1 and 2 µm pristine, spherical polystyrene (PS) NMPs via drinking water induced marked neurobehavioral effects in both young and aged healthy female C57BL/6J mice with NMPs translocating into intracellular compartments of all major tissues, including parenchyma of brain. Importantly, we found that exposure induced alterations in inflammatory processes in the body, with a striking decrease in glial fibrillary acidic protein (GFAP) expression in brain. Using cellular models, we also found that PS-NMPs readily enter the cell and surround the nuclear envelope and that exposure negatively affects cellular homeostasis and viability. Building on these findings, we then investigated the interplay between NMPs exposure and genetic susceptibility for neurological disease development by exposing mice carrying the largest known risk factor for developing Alzheimerʼs disease (AD) in hum",CONF_3224,Jaime Ross,University of Rhode Island,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Experimental models to test causal relationships between MNP exposure and Alzheimer's disease pathology,"Emerging research demonstrates that micro- and nanoplastics (MNP) are abundant in human tissues including the brain. Plastics levels were shown to be higher in post-mortem tissue from dementia patients. However, it is not clear if MNP causally contribute to dementia and Alzheimerʼs and if so, whether it is through actions on core pathological AD features such as amyloid beta plaques and tau tangles or through upstream or generic cellular toxicity pathways. Enhanced Alzheimerʼs disease (AD) like pathology was elicited with oral administration of MNP in transgenic AD mouse models. MNP facilitate the fibrillization of amyloid beta in vitro. Thus, there is suggestive experimental support that MNP may act on core pathological features of AD. Existing experimental systems almost exclusively rely on pristine polystyrene spheres which limits interpretation and translational relevance relative to environmental MNP made up of other polymers, shapes, adsorbed chemical mixtures and co-exposures, and weathering states. Since many environmental neurotoxicants show low oral bioavailability, we have investigated the potential of nanoplastics to act as carriers to increase their brain bioavailabilit",CONF_3225,Brandon Pearson,Oregon State University,2026.0,CONFERENCE,0,0,0,0,,,,0,1,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
